ID,FamilyImp,FrndsImp,LesrImp,PoltcImp,WorkImp,RelgnImp,FeelHappy,StateofHlth,SatisfLife,Sex,Age,HighEducLev,SocialClass,Income,SizeTown,VeryHappy,AgeGroup4,MostTrusted,MaritalStatus,HwManyMembershp
1003,1,1,1,3,3,2,1,4,10,,,,, , ,1, ,0,2,0
1015,1,1,1,3,,3,1,1,10,2,61,6,2,7,5,1,3,1,2,0
1060,1,2,3,3,2,4,2,1,7,1,48,8,3,2,1,0,2,1,2,0
1087,1,1,1,2,3,4,1,1,9,2,32,9,2,9,7,1,1,1,1,0
1104,1,1,2,3,2,4,2,1,7,1,43,9,2,10,7,0,2,1,2,0
1111,1,2,2,2,1,4,1,1,9,1,31,8,2,10,7,1,1,0,2,0
1123,1,2,2,3,2,1,2,1,9,2,37,8,4,5,5,0,2,1,2,0
1125,1,2,1,4,2,1,1,2,6,1,33,9,4,5,7,1,1,0,1,0
1147,1,3,2,4,3,4,1,1,10,2,60,7,2,9,7,1,3,1,2,0
1158,1,1,3,4,1,1,2,1,9,1,61,6,3,9,7,0,3,0,2,0
1162,1,1,2,3,2,3,2,2,,2,19,8,4,4,7,0,1, ,1,0
1163,1,1,2,2,2,4,2,2,8,2,58,6,3,2,7,0,3,0,2,0
1165,1,1,2,3,3,4,2,1,8,1,19,8,, ,7,0,1,1,1,0
1215,1,1,1,3,2,3,3,3,4,1,61,6,,9,7,0,3,0,1,0
1234,1,2,2,,2,,2,4,7,2,65,,,1,7,0,4,0,2,0
1239,2,,,,,,2,3,7,1,76,1,4, ,7,0,4,0,2,0
1247,1,1,1,,2,2,2,3,5,1,35,6,4,6,7,0,2,1,2,0
1265,1,1,2,2,1,2,1,2,7,2,45,8,4,4,7,1,2,1,3,0
1303,1,2,2,3,2,3,2,2,8,1,63,6,3,6,7,0,3,0,2,0
1321,2,2,2,3,2,4,1,2,8,1,27,7,4,9,7,1,1,0,2,0
1332,1,1,2,2,2,3,2,2,8,2,26,7,,3,7,0,1, ,1,0
1457,1,2,1,4,2,4,2,2,7,1,53,8,,10,7,0,3,1,2,0
1458,1,1,1,3,2,3,2,2,9,2,49,7,2,4,7,0,2,1,2,0
1466,1,2,1,3,2,4,2,2,8,1,59,8,,7, ,0,3,1,2,0
1482,1,3,2,2,2,4,2,3,5,1,36,6,4,10,7,0,2,1,2,0
1483,1,1,2,3,2,4,2,1,5,2,39,7,4,6,7,0,2,1,3,0
1495,1,1,2,3,4,4,1,1,10,2,56,7,2,9,4,1,3,1,2,0
1498,1,2,1,3,1,,1,2,9,1,43,3,4, ,4,1,2,0,1,0
1499,1,2,1,2,1,4,1,1,9,2,38,7,3,9,6,1,2,1,2,0
1516,1,1,2,4,2,4,2,1,7,2,61,6,4, ,5,0,3,1,3,0
1539,1,1,2,,2,2,2,1,8,2,22,8,3,6,6,0,1,0,1,0
1546,3,2,3,2,2,3,2,3,7,1,56,3,3,6,7,0,3,0,2,0
1552,1,3,3,3,2,3,2,2,5,2,50,7,3,9,7,0,3,0,2,0
1560,1,2,2,3,1,4,2,2,,1,79,3,4,2,4,0,4,0,2,0
1567,1,2,2,3,2,4,2,1,7,1,37,8,3,8,7,0,2,0,2,0
1575,1,1,1,2,,2,3,3,7,2,79,6,4, ,5,0,4,0,3,0
1576,1,1,3,3,3,4,2,3,9,1,73,7,4,2,7,0,4,0,2,0
1587,1,2,1,3,1,3,1,1,9,2,52,7,4,10,7,1,3,1,2,0
1626,1,1,1,4,1,4,2,1,9,1,37,8,3,10,6,0,2,0,2,0
1692,1,1,1,2,2,4,3,3,6,1,35,7,4,8,3,0,2,0,1,0
1693,1,2,1,1,2,3,1,2,8,1,39,7,,6,3,1,2,1,2,0
1702,1,2,3,3,3,3,1,2,9,2,60,6,4,5,7,1,3,0,2,0
1705,1,2,1,2,2,4,2,3,8,2,55,6,3,9,7,0,3,1,2,0
1727,2,2,2,3,2,4,2,2,6,2,35,8,2,8,5,0,2,1,2,0
1731,1,2,2,3,3,3,2,2,5,2,30,6,5,3,6,0,1,0,2,0
1734,2,2,2,2,2,4,2,2,8,1,30,7,4,6,7,0,1,1,2,0
1748,3,3,3,3,3,4,2,2,5,2,28,7,2,9,7,0,1,0,1,0
1762,1,1,1,4,2,4,2,2,8,2,49,6,3,6,7,0,2,1,2,0
1763,1,1,2,2,2,2,2,2,4,2,21,7,,2,3,0,1,1, ,0
1810,1,1,2,3,2,4,2,1,8,2,46,9,3,9,4,0,2,0, ,0
1816,1,2,2,2,1,4,1,2,8,2,27,6,2,7,4,1,1,0, ,0
1824,1,1,4,2,1,4,,1,8,2,38,6,4,4,2, ,2,0,3,0
1834,1,1,2,3,2,4,1,1,10,2,27,6,5,1,4,1,1,0,1,0
1840,1,1,1,3,2,3,2,2,8,2,28,8,,9,1,0,1, ,2,0
1862,1,1,1,1,4,4,1,2,10,1,72,6,4, ,4,1,4, ,2,0
1880,1,2,1,4,2,4,2,2,8,2,43,6,3,6,3,0,2,0,2,0
1886,1,1,1,3,1,4,2,2,7,1,57,6,,6,1,0,3,0,2,0
1927,1,1,1,3,2,3,2,1,,2,36,7,2,10,7,0,2,0,2,0
1934,1,1,1,3,1,2,2,3,4,2,28,8,,4,7,0,1,0,2,0
1950,1,1,1,3,2,4,2,1,7,1,25,9,3,8,1,0,1,0,2,0
1993,1,2,2,,2,1,2,2,,2,55,1,2,4,4,0,3,1,2,0
2063,1,3,1,2,1,3,3,2,3,1,53,6,4,4,2,0,3,0,3,0
2068,1,2,3,4,1,2,,1,,2,47,6,3,6,6, ,2,0,2,0
2150,1,2,3,4,3,4,2,2,7,1,44,6,4,1,5,0,2,1,1,0
2169,1,2,2,3,2,,2,,9,2,23,6,2,5,2,0,1,0,2,0
2221,1,2,2,3,2,3,1,1,9,1,30,8,4,10,6,1,1,0,1,0
2226,2,1,1,3,3,4,2,2,6,1,25,8,3,10,6,0,1,0,1,0
2257,1,1,1,2,2,2,2,2,8,2,69,1,4,2,1,0,4,1,1,0
2265,1,1,1,2,2,4,1,1,10,2,38,6,4,9,3,1,2,0,2,0
2270,1,1,1,3,2,,2,2,10,2,61,6,4,2,3,0,3,0,2,0
2290,1,2,3,3,4,3,2,3,,1,72,6,4,1,4,0,4,0,3,0
2293,1,1,1,,1,3,1,3,10,2,61,6,,1,4,1,3,0,2,0
2304,1,2,2,3,2,4,2,3,5,2,63,6,3,2,3,0,3,1,2,0
2365,1,1,1,2,3,4,2,2,8,1,30,9,2,10,7,0,1,1,1,0
2372,1,2,2,2,3,3,2,2,7,1,38,8,3,8,7,0,2,1,2,0
2411,1,2,1,1,1,3,2,2,8,1,43,9,3,8,7,0,2,1,2,0
2425,1,1,1,2,2,3,2,2,10,1,74,7,4,7,5,0,4,0,2,0
2450,1,1,1,,1,,1,2,10,2,52,7,3, ,5,1,3,1,2,0
2453,1,2,1,1,2,1,1,2,10,1,73,3,, ,4,1,4,1,2,0
2476,1,2,2,4,2,1,2,2,6,1,33,8,5,5,7,0,1,1,1,0
2487,1,1,1,3,2,4,1,1,10,2,47,6,2,10,7,1,2,1,2,0
2493,1,2,2,4,2,4,2,1,7,1,23,8,4,8,5,0,1,0,1,0
2494,1,1,1,3,2,3,2,2,8,2,47,6,2,10,5,0,2,1,2,0
2531,1,1,1,4,2,4,1,2,9,1,43,6,4,6,5,1,2,0,3,0
2546,1,2,2,3,1,4,2,3,5,2,22,8,4,3,5,0,1,1,1,0
2551,1,1,1,2,2,2,3,4,4,1,32,8,4,8,5,0,1,0,1,0
2556,1,2,2,3,2,4,2,3,3,1,55,8,2,8,2,0,3,1,2,0
2564,1,1,2,2,2,2,1,2,10,2,60,6,4,1,3,1,3,1,1,0
2569,1,1,1,3,2,4,1,2,8,2,49,6,4,6,4,1,2,1,2,0
2576,1,1,2,3,2,4,1,2,7,1,50,7,3,8,1,1,3,1,2,0
2589,1,1,1,2,1,4,1,2,9,1,72,3,4,2,3,1,4,0,2,0
2594,1,1,1,2,,4,1,2,8,1,69,3,4,2,3,1,4,0,2,0
2596,1,,,,,,2,3,8,2,74,7,4,3,3,0,4,1,3,0
2598,1,1,1,2,2,3,1,2,8,2,25,6,4,5,2,1,1,1,2,0
2607,3,2,1,4,3,4,2,1,9,2,19,9,2,2,6,0,1,0,1,0
2625,2,2,2,2,2,4,2,2,10,1,54,7,3,7,7,0,3,1,3,0
2629,1,2,1,2,1,3,1,1,10,2,52,7,2,9,7,1,3,0,2,0
2633,1,1,1,2,3,4,2,3,8,1,75,6,4,2,7,0,4,0,3,0
2666,1,1,1,2,1,3,2,2,10,1,62,6,4,5,3,0,3,0,2,0
2669,1,2,1,3,2,4,2,3,8,2,42,6,3, ,4,0,2,0,3,0
2671,1,1,1,2,2,4,2,1,8,2,32,8,2,10,7,0,1,1,2,0
2708,1,1,1,3,1,4,1,1,10,2,28,7,4,5,7,1,1,1,2,0
2716,1,3,2,3,2,4,2,3,6,1,67,6,4, ,7,0,4,0,2,0
2718,1,1,1,1,1,3,2,3,6,2,50,6,4,4,5,0,3,1,1,0
2742,1,1,2,2,1,4,1,1,9,1,36,9,3,9,3,1,2,1,2,0
2755,1,2,2,2,1,2,1,1,10,2,50,6,4,8,1,1,3,0,2,0
2782,1,1,1,3,2,4,2,1,10,2,32,9,4,8,2,0,1,1,2,0
2820,1,1,1,3,2,3,2,2,6,1,18,8,3,1,5,0,1,0,1,0
2835,2,3,1,4,3,4,1,2,9,2,49,6,4,7,1,1,2,1,2,0
2841,1,1,4,4,4,4,2,2,,1,74,3,3,2,6,0,4,1,2,0
2844,1,1,2,3,2,4,1,3,10,1,74,3,5,2,6,1,4,1,2,0
2845,1,2,2,,3,,2,2,8,1,70,8,4, ,7,0,4,1,2,0
2849,1,2,1,3,2,2,1,3,9,1,62,6,3,8,7,1,3,1,2,0
2882,1,1,1,3,2,4,1,1,9,2,37,9,2,6,7,1,2,1,2,0
2888,1,1,1,3,2,4,2,3,4,2,72,7,4,4,7,0,4,0,2,0
2911,1,2,2,4,1,4,1,1,10,1,54,6,4,8,3,1,3,0,2,0
2936,1,1,2,4,2,4,2,3,7,2,26,6,4,6,5,0,1,0,2,0
2943,1,2,1,3,2,4,2,3,7,1,30,8,4,4,6,0,1,1,1,0
2950,1,1,1,4,1,4,1,1,10,1,69,1,3,6,1,1,4,1,2,0
2976,1,1,,3,1,3,1,1,10,2,54,6,4,6,3,1,3,1,2,0
1004,1,2,3,3,2,1,1,2,9,2,31,7,3,8,5,1,1,0,2,1
1051,1,1,2,3,2,4,1,2,9,2,70,7,3,3,3,1,4,1,2,1
1062,1,1,2,2,1,2,1,1,8,1,20,8,2,4,1,1,1,0,1,1
1103,1,3,1,2,2,3,2,2,7,1,53,7,2,9,7,0,3,0,2,1
1106,3,1,1,3,2,3,2,3,6,1,41,8,2,9,7,0,2,0,2,1
1100,1,2,2,3,4,4,2,1,9,1,56,9,,4,7,0,3,1,2,1
1115,1,1,2,3,3,1,2,2,7,2,26,8,3,8,7,0,1,0,2,1
1133,1,1,1,3,2,2,1,1,9,2,54,8,2,9,7,1,3,1,3,1
1155,2,1,1,2,1,4,1,1,5,2,35,8,5, ,4,1,2,0,2,1
1185,1,1,1,2,2,2,2,1,7,1,43,9,2,9,7,0,2,1,2,1
1290,1,1,2,3,2,3,2,3,6,2,19,6,3,6,3,0,1,0,1,1
1362,1,1,1,2,1,3,2,2,8,2,50,8,3,7,3,0,3,0,2,1
1365,1,2,2,2,2,3,2,3,8,2,37,6,3,8,3,0,2,1,2,1
1436,1,1,1,2,2,4,1,1,9,2,43,9,,9,7,1,2,0,2,1
1477,1,1,2,2,2,4,2,2,7,1,59,8,3,7,7,0,3, ,2,1
1573,1,1,3,1,1,3,2,2,8,2,42,8,,1,7,0,2,1,3,1
1681,1,,,,,,3,3,5,2,64,7,4,3,1,0,3,0,2,1
1690,1,2,2,2,2,2,1,2,7,2,68,7,2,6,1,1,4,1,2,1
1725,1,1,1,3,2,4,2,1,7,1,35,9,2,10,7,0,2,0,2,1
1735,1,2,1,2,2,4,2,1,9,1,31,7,2,9,7,0,1,0,2,1
1736,1,1,2,3,2,4,2,1,7,2,34,8,2,9,7,0,1,0,2,1
1811,1,1,1,3,1,3,1,1,8,2,40,8,3,8,3,1,2,0,2,1
1895,1,1,2,3,2,4,1,2,9,1,30,8,3,8,1,1,1,0,2,1
1944,1,1,1,2,1,3,1,2,9,1,46,6,2,9,3,1,2,1,2,1
1961,1,2,2,3,2,3,2,2,9,1,40,7,4,8,2,0,2,0,2,1
1972,1,,3,4,,2,2,2,8,2,44,6,3, ,4,0,2,0,2,1
2004,1,2,2,4,2,4,2,3,7,1,36,7,3,9,6,0,2,1,2,1
2037,1,2,2,3,2,3,2,2,10,1,57,6,3,4,5,0,3,1,2,1
2064,1,1,1,2,2,3,2,1,6,2,22,6,5, ,5,0,1,1,3,1
2065,1,2,2,3,1,1,2,1,10,2,37,8,4,5,5,0,2,1,2,1
2078,1,2,1,3,3,3,2,2,8,2,61,6,3,1,6,0,3,0,2,1
2099,1,1,1,2,1,1,2,2,7,1,32,8,2,9,1,0,1,0,2,1
2109,1,2,1,3,2,3,1,1,10,2,52,6,2,10,6,1,3,1,2,1
2124,1,1,1,3,2,3,1,1,10,2,42,6,2,8,5,1,2,0,2,1
2149,1,2,1,3,2,3,2,2,8,1,41,7,3,6,5,0,2,0,2,1
2195,2,1,2,3,2,2,2,2,6,1,28,7,3,9,4,0,1,0,2,1
2211,1,1,3,4,2,4,2,3,5,2,58,6,4,1,6,0,3,0,2,1
2223,1,2,2,2,1,3,2,3,6,1,31,7,3,7,6,0,1,0,2,1
2247,1,2,2,4,1,2,3,1,4,2,44,1,5,2,3,0,2,0,3,1
2269,1,1,1,2,1,2,2,1,8,2,56,8,2,8,1,0,3,1,2,1
2325,1,1,1,3,,4,1,2,9,2,35,9,2,9,7,1,2,1,2,1
2441,1,1,1,3,4,3,1,2,10,1,66,6,3,6,3,1,4,1,2,1
2471,1,1,1,3,3,3,2,2,7,2,40,9,, ,7,0,2,1,2,1
2482,1,1,1,2,1,2,1,1,9,2,36,7,2,10,7,1,2,1,2,1
2511,1,2,2,3,4,4,1,2,10,2,72,6,2,6,3,1,4,1,2,1
2519,1,2,1,3,1,4,2,2,7,1,60,6,, ,7,0,3,0,2,1
2528,1,3,3,3,2,4,2,2,8,1,73,7,4,2,5,0,4,0,2,1
2530,1,2,1,3,3,3,2,2,8,2,45,7,3,8,6,0,2,0,2,1
2549,1,1,2,3,1,1,1,1,9,2,44,7,3,9,6,1,2,0,2,1
2550,1,1,1,3,1,3,2,1,3,2,36,7,4,6,5,0,2,1,2,1
2565,1,2,1,4,3,4,1,2,8,2,47,9,2,9,2,1,2,0,2,1
